id,name,code,account_type,reconcile,tag_ids
a000,Издатоци за развој,000,asset_fixed,False,
a001,Гудвил (Goodwil),001,asset_fixed,False,
a002,"Концесии, патенти, лиценц и, трговски и услужни марки",002,asset_fixed,False,
a003,Софтвер и останати права,003,asset_fixed,False,
a005,Аванси за набавка на нематеријални средства,005,asset_fixed,False,
a006,Нематеријални средства во подготовка,006,asset_fixed,False,
a007,Останати нематеријални средства,007,asset_fixed,False,
a008,Вредносно усогласување на нематеријални средства,008,asset_fixed,False,
a009,Акумулирана амортизација на нематеријални средства,009,asset_fixed,False,
a010,Земјишта,010,asset_fixed,False,
a011,Градежни објекти,011,asset_fixed,False,
a012,Постројки и опрема,012,asset_fixed,False,
a013,"Алат, погонски и канц елариски инвентар, мебел и транспортни",013,asset_fixed,False,
a014,Биолошки средства,014,asset_fixed,False,
a015,Останати материјални средства,015,asset_fixed,False,
a016,Материјални средства во подготовка,016,asset_fixed,False,
a017,Аванси за набавка на материјални средства,017,asset_fixed,False,
a018,Вредносно усогласување на материјални средства,018,asset_fixed,False,
a019,Акумулирана амортизација на материјални средства,019,asset_fixed,False,
a020,Вложувања во недвижности за наем,020,asset_fixed,False,
a021,Вложувања во недвижности заради зголемување на капиталот,021,asset_fixed,False,
a026,Вложувања во недвижности во подготовка,026,asset_fixed,False,
a027,Аванси за вложувања во недвижности,027,asset_fixed,False,
a028,Вредносно усогласување на вложувања во недвижности,028,asset_fixed,False,
a029,Акумулирана амортизација на вложувања во недвижности,029,asset_fixed,False,
a030,Вложувања во подружница,030,asset_fixed,False,
a031,Вложувања во придружни друштва и заеднички контролирани друштва,031,asset_fixed,False,
a032,Долгорочни заеми и кредити на поврзани друштва во земјата и,032,asset_fixed,False,
a033,Дадени заеми и кредити во земјата и во странство,033,asset_fixed,False,
a034,Финансиски средства ко и се чуваат до доспевање,034,asset_fixed,False,
a035,Финансиски средства расположиви за продажба,035,asset_fixed,False,
a036,Финансиски средства според објективна вредност преку добивката или,036,asset_fixed,False,
a037,Дадени депозити и кауции во земјата и странство,037,asset_fixed,False,
a038,Останати долгорочни финансиски средства,038,asset_fixed,False,
a039,Вредносно усогласување на долгорочните финансиски средства,039,asset_fixed,False,
a040,на новата сметка од старата сметка,040,asset_fixed,False,
a041,Побарувања од неповрзани друштва врз основа на продажба на,041,asset_fixed,True,
a042,Побарувања врз основа на наем - финансиски лизинг,042,asset_fixed,True,
a043,www.ujp.gov.mk,043,asset_fixed,False,
a044,Побарувања врз основа на дадени гаранции,044,asset_fixed,True,
