Code,Name,Type,Allow Reconciliation
000,Издатоци за развој,asset_fixed,False
001,Гудвил (Goodwil),asset_fixed,False
002,"Концесии, патенти, лиценц и, трговски и услужни марки",asset_fixed,False
003,Софтвер и останати права,asset_fixed,False
005,Аванси за набавка на нематеријални средства,asset_fixed,False
006,Нематеријални средства во подготовка,asset_fixed,False
007,Останати нематеријални средства,asset_fixed,False
008,Вредносно усогласување на нематеријални средства,asset_fixed,False
009,Акумулирана амортизација на нематеријални средства,asset_fixed,False
010,Земјишта,asset_fixed,False
011,Градежни објекти,asset_fixed,False
012,Постројки и опрема,asset_fixed,False
013,"Алат, погонски и канц елариски инвентар, мебел и транспортни",asset_fixed,False
014,Биолошки средства,asset_fixed,False
015,Останати материјални средства,asset_fixed,False
016,Материјални средства во подготовка,asset_fixed,False
017,Аванси за набавка на материјални средства,asset_fixed,False
018,Вредносно усогласување на материјални средства,asset_fixed,False
019,Акумулирана амортизација на материјални средства,asset_fixed,False
020,Вложувања во недвижности за наем,asset_fixed,False
021,Вложувања во недвижности заради зголемување на капиталот,asset_fixed,False
026,Вложувања во недвижности во подготовка,asset_fixed,False
027,Аванси за вложувања во недвижности,asset_fixed,False
028,Вредносно усогласување на вложувања во недвижности,asset_fixed,False
029,Акумулирана амортизација на вложувања во недвижности,asset_fixed,False
030,Вложувања во подружница,asset_fixed,False
031,Вложувања во придружни друштва и заеднички контролирани друштва,asset_fixed,False
032,Долгорочни заеми и кредити на поврзани друштва во земјата и,asset_fixed,False
033,Дадени заеми и кредити во земјата и во странство,asset_fixed,False
034,Финансиски средства ко и се чуваат до доспевање,asset_fixed,False
035,Финансиски средства расположиви за продажба,asset_fixed,False
036,Финансиски средства според објективна вредност преку добивката или,asset_fixed,False
037,Дадени депозити и кауции во земјата и странство,asset_fixed,False
038,Останати долгорочни финансиски средства,asset_fixed,False
039,Вредносно усогласување на долгорочните финансиски средства,asset_fixed,False
040,на новата сметка од старата сметка,asset_fixed,False
041,Побарувања од неповрзани друштва врз основа на продажба на,asset_fixed,True
042,Побарувања врз основа на наем - финансиски лизинг,asset_fixed,True
043,www.ujp.gov.mk,asset_fixed,False
044,Побарувања врз основа на дадени гаранции,asset_fixed,True
045,Спорни и ризични побарувања,asset_fixed,True
046,Побарувања за дадени аванси,asset_fixed,True
047,Останати долгорочни побарувања,asset_fixed,True
049,Вредносно усогласување на долгорочни побарувања,asset_fixed,True
050,Одложени даночни средства,asset_fixed,False
100,Парични средства на трансакциски сметки во денари,asset_cash,False
101,Издвоени парични средства и акредитиви,asset_cash,False
102,Парични средства во благајна,asset_cash,False
103,Девизни сметки,asset_cash,False
104,Девизни акредитиви,asset_current,False
105,Парични средства во благајна во странска валута,asset_cash,False
106,Депозити -,asset_current,False
107,Хартии од вредност -,asset_current,False
108,Останати парични средства,asset_cash,False
109,Вредносно усогласување на парични еквиваленти,asset_current,False
110,Побарувања од поврзани друштва врз основа на продажба на добра и,asset_receivable,True
111,Побарувања од поврзани друштва врз основа на продажба на,asset_receivable,True
112,"Побарувања од поврзани друштва за аванси, депозити и кауции во",asset_receivable,True
113,"Побарувања од поврзани друштва за аванси, депозити и кауции во",asset_receivable,True
114,Побарувања од поврзани друштва за камати (договорни и казнени) во,asset_receivable,True
115,Побарувања од поврзани друштва за камати (договорни и казнени) во,asset_receivable,True
116,Побарувања од специфично работење од поврзани друштва,asset_receivable,True
118,Останати побарувања од поврзани друштва,asset_receivable,True
119,Вредносно усогласување на побарувањата од поврзани друштва,asset_receivable,True
120,Побарувања од купувачи во земјата,asset_receivable,True
121,Побарувања од купувачи во странство,asset_receivable,True
122,"Побарувања за дадени аванси, депозити и кауции во земјата",asset_receivable,True
123,"Побарувања за дадени аванси, депозити и кауции во странство",asset_receivable,True
124,Побарувања од специфично работење на неповрзани друштва,asset_receivable,True
125,Побарувања од камати (договорни и казнени),asset_receivable,True
126,Спорни и сомнителни побарувања,asset_receivable,True
127,Останати побарувања,asset_receivable,True
129,Вредносно усогласување на побарувањата од купувачи,asset_receivable,True
130,Данок на додадена вредност,asset_current,False
131,Побарувања за повеќе платени акцизи,asset_receivable,True
132,Побарувања за повеќе платени царини и царински давачки,asset_receivable,True
133,"Побарувања за повеќе пл атен данок на добивка, данок на вкупен",asset_receivable,True
134,Побарувања за повеќе платен персонален данок на доход,asset_receivable,True
135,Побарувања за повеќе платени придонеси и други давачки,asset_receivable,True
136,Побарувања за повеќе платен данок на имот,asset_receivable,True
137,"Побарувања за регрес, субвенции, премии и други државни поддршки",asset_receivable,True
138,Останати побарувања од државни органи и институции,asset_receivable,True
139,Вредносно усогласување на побарувањата од државни органи и,asset_receivable,True
140,Побарувања од враб отените за повеќе исплатена плата и,asset_receivable,True
143,Побарувања од вработените за аконтации за службени патувања,asset_receivable,True
145,Останати побарувања од вработените,asset_receivable,True
149,Вредносно усогласување на побарувањата од вработените,asset_receivable,True
150,Побарувања од осигурителни друштва,asset_receivable,True
151,"Побарувања за тантиеми (надоместоци за користење патенти, знаци и",asset_receivable,True
152,"Побарувања врз основа на цесија, асигнација и преземање на долг",asset_receivable,True
153,Побарувања за членарини,asset_receivable,True
154,Побарувања за дивиденда или удел во добивката,asset_receivable,True
157,Побарувања врз основа на продажба на удел,asset_receivable,True
158,Останати побарувања,asset_receivable,True
159,Вредносно усогласување на останати побарувања,asset_receivable,True
160,Краткорочни кредити и заеми од поврзани друштва во земјата,asset_current,False
161,Краткорочни кредити и заеми од поврзани друштва во странство,asset_current,False
162,Краткорочни кредити и заеми во земјата,asset_current,False
163,Краткорочни кредити и заеми од странство,asset_current,False
164,Хартии од вредност ко и се чуваат до доспевање,asset_current,False
165,Хартии од вредност според објективна вредност преку добивката или,asset_current,False
166,Краткорочно орочени денарски средства,asset_current,False
167,Краткорочно орочени странски средства за плаќање,asset_current,False
168,Останати краткорочни финансиски средства,asset_current,False
169,Вредносно усогласување на финансиски средства,asset_current,False
190,Однапред платени трошоци,asset_current,False
191,Однапред платени зависни трошоци за набавка,asset_current,False
192,Однапред платени надоместоци за концесија,asset_current,False
193,"Однапред платени франшизи, трговски знаци и слични права",asset_current,False
194,Однапред платени патенти и лиценци,asset_current,False
195,Пресметани приходи што не можеле да бидат фактурирани,asset_current,False
198,Останати однапред платен и трошоци и пресметани приходи,asset_current,False
210,Обврски од поврзани друштва врз основа на набавка на добра и,liability_current,True
211,Обврски од поврзани друштва врз основа на набавка на добра и,liability_current,True
212,"Обврски од поврзани друштва за аванси, депозити и кауции во",liability_current,True
213,"Обврски од поврзани друштва за аванси, депозити и кауции од",liability_current,True
214,Обврски од поврзани друштва за камати (договорни и казнени) во,liability_current,True
215,Обврски од поврзани друштва за камати (договорни и казнени) од,liability_current,True
216,Обврски од специфично работење од поврзани друштва,liability_current,True
218,Останати обврски од поврзани друштва,liability_current,True
220,Обврски спрема добавувачи во земјата,liability_payable,True
221,Обврски спрема добавувачи од странство,liability_payable,True
222,"Обврски за примени аванси, депозити и кауции во земјата",liability_current,True
223,"Обврски за примени аванси, депозити и кауции од странство",liability_current,True
224,Обврски од специфично работење од неповрзани друштва,liability_current,True
225,Обврски за камати (договорни и казнени),liability_current,True
229,Останати обврски од добавувачи,liability_payable,True
230,Обврски за данокот на додадена вредност,liability_current,True
231,Обврски за акцизи,liability_current,True
232,Обврски за царини и царински давачки,liability_current,True
233,"Обврски за данок на добивка, данок на вкупен приход и данок на",liability_current,True
234,Обврски за даноци и придонеси на плата и надоместоци на плата,liability_current,True
235,Обврски за персонален данок на доход,liability_current,True
236,Обврски за данок на имот,liability_current,True
237,Обврски за данок на непризнати расходи и помалку искажани приходи,liability_current,True
239,"Обврски за останати даноци, придонеси и други давачки",liability_current,True
240,Обврски за плата и надоместоци на плата,liability_current,True
241,Обврски за надоместоци на трошоците на вработените,liability_current,True
242,Останати обврски спрема вработените врз основа на колективни,liability_current,True
249,Останати обврски спрема вработените,liability_current,True
250,Обврски спрема осигурителни друштва,liability_current,True
251,Обврски за надомест и други примања на членови на управен и,liability_current,True
252,Обврски спрема вршители на дејност и други физички лица,liability_current,True
253,Обврски врз основа на наем,liability_current,True
254,Обврски врз основа на учество во добивката,liability_current,True
255,Обврски за членарини,liability_current,True
256,Обврски за краткорочни резервирања на трошоци во гарантен рок,liability_current,True
259,Останати краткорочни обврски,liability_current,True
260,Краткорочни кредити и заеми од поврзани друштва во земјата,liability_current,False
